Sex_kl,Age_kl,Group_kl,Traveler_kl,Sidewalk_kl,Bike_Lane_With_kl,Bike_Lane_Against_kl,Street_With_Traffic_kl,Street_Against_Traffic_kl,Sex_kb,Age_kb,Group_kb,Traveler_kb,Sidewalk_kb,Bike_Lane_With_kb,Bike_Lane_Against_kb,Street_With_Traffic_kb,Street_Against_Traffic_kb
0,2,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,6,0,1,1,0,0,0,2,0,6,0,1,1,0,0
0,2,0,5,0,1,1,0,0,0,2,0,5,0,1,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,6,0,1,1,0,0,0,2,0,6,0,1,1,0,0
1,2,0,6,0,1,0,0,0,1,2,0,6,0,1,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,2,0,1,1,0,0,1,2,0,2,0,0,1,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,1,1,1,1,1,0,0,2,0,1,1,1,1,1,0
0,2,0,3,1,0,0,0,0,0,2,0,3,1,0,0,0,0
1,2,0,2,1,1,1,1,0,1,2,0,2,1,1,1,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,0,0,1,0,0,2,0,4,0,0,0,1,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,0,1,1,0,0,0,2,0,1,0,1,1,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,3,0,1,0,0,0,0,2,0,3,0,1,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,0,1,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,5,0,1,0,0,0,1,2,0,5,0,1,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,3,1,0,0,0,0,1,2,0,3,1,0,0,0,0
0,2,1,5,0,1,0,0,0,0,2,1,5,0,1,0,0,0
0,2,1,5,0,0,1,0,0,0,2,1,5,0,0,1,0,0
0,2,0,1,1,1,1,0,0,0,2,0,1,1,1,1,1,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,2,1,0,0,0,0,1,2,1,2,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,4,0,1,0,0,0,1,2,0,4,0,1,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,6,0,1,0,0,0,0,2,0,6,0,1,0,0,0
0,3,0,4,0,1,0,0,0,0,3,0,4,0,1,0,0,0
0,2,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
0,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,1,1,1,1,1,0,1,2,0,1,1,1,1,1,0
1,2,0,5,0,1,0,0,0,1,2,0,5,0,1,0,0,0
1,2,0,2,1,0,0,0,0,1,2,0,2,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1
0,2,1,1,1,1,1,0,1,0,2,1,1,0,1,1,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,1,1,1,1,0,1,1,2,0,1,1,0,0,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
1,2,1,4,0,0,1,0,0,1,2,1,4,0,0,1,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
0,3,0,4,0,1,0,0,0,0,3,0,4,0,1,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
1,2,0,1,1,1,1,1,0,1,2,0,1,1,1,1,1,0
0,2,0,6,0,1,0,0,0,0,2,0,6,0,1,0,0,0
1,2,1,2,0,1,1,0,0,1,2,1,2,0,1,1,0,0
0,2,1,1,0,1,1,0,0,0,2,1,1,0,1,1,0,0
1,2,0,3,1,0,0,0,0,1,2,0,3,1,0,0,0,0
1,2,0,4,0,1,0,0,0,1,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,5,0,1,0,0,0,1,2,0,5,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,3,1,4,0,1,0,0,0,0,3,1,4,0,1,0,0,0
0,3,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
1,2,0,5,0,1,0,0,0,1,2,0,5,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,6,0,1,0,0,0,0,2,0,6,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
0,2,0,1,1,1,1,0,1,0,2,0,1,1,1,1,0,1
0,2,0,1,1,1,1,1,0,0,2,0,1,1,1,1,1,0
0,2,0,6,0,1,0,0,0,0,2,0,6,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
1,3,0,1,1,1,1,0,1,1,3,0,1,1,1,1,0,1
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0
0,2,0,6,0,1,0,0,0,0,2,0,6,,,,,
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
0,3,1,4,0,0,0,1,0,0,3,1,4,0,0,0,1,0
1,2,1,4,0,0,0,1,0,1,2,1,4,0,0,0,1,0
0,2,1,4,0,1,1,0,0,0,2,1,4,0,1,1,0,0
1,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,1,1,0,0,0
0,2,0,4,1,0,0,0,0,0,2,1,4,1,0,0,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
0,2,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
0,2,1,4,0,1,0,0,0,0,2,1,1,1,0,1,0,0
0,2,0,2,1,1,0,0,0,1,2,1,1,1,0,0,0,0
1,2,0,2,1,1,1,0,0,0,2,0,4,0,1,0,0,0
0,2,1,1,1,0,1,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,1,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,0,0,1,0,0,2,0,4,0,0,0,1,0
1,2,0,1,0,1,0,0,0,1,2,0,2,0,1,0,0,0
1,2,1,1,0,1,0,0,0,1,2,1,1,0,1,0,0,0
0,2,1,1,0,1,1,0,0,0,2,1,1,0,1,1,0,0
0,2,0,4,1,0,1,0,0,0,2,0,4,1,1,1,0,0
0,2,1,5,1,1,1,0,0,0,2,1,5,0,1,1,0,0
1,2,1,5,0,1,1,0,0,1,2,1,5,0,1,1,0,0
0,2,0,6,1,0,1,0,0,0,2,0,6,1,0,1,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,1,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,1,0,0
0,2,1,4,1,1,0,0,0,0,2,1,4,1,1,0,0,0
1,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
1,2,1,1,0,1,0,0,0,1,2,1,1,0,1,0,0,0
1,2,1,1,0,1,0,0,0,1,2,1,1,0,1,0,0,0
1,2,1,5,1,0,0,0,0,1,2,1,5,1,0,0,0,0
0,2,1,5,0,1,0,0,0,0,2,1,5,0,1,0,0,0
0,2,0,4,1,1,0,0,0,0,2,0,4,1,1,0,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
0,2,0,5,0,0,0,1,0,0,2,0,5,0,0,0,1,0
0,2,0,4,1,1,0,0,0,0,2,0,4,1,1,0,0,0
1,2,0,4,0,1,0,0,0,1,2,0,4,0,1,1,0,0
0,2,0,4,1,1,1,0,0,0,2,0,4,1,1,1,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
0,2,1,5,0,1,0,0,0,0,2,1,5,0,1,0,0,0
0,2,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
0,2,1,4,1,0,0,0,0,0,2,1,4,1,0,0,0,0
0,2,1,4,0,1,1,0,0,0,2,1,4,0,1,1,0,0
1,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0
0,2,0,5,0,0,0,1,0,0,2,0,5,0,0,0,1,0
0,2,0,4,0,0,0,1,0,0,2,0,4,0,0,0,1,0
0,2,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
1,2,1,4,1,1,0,0,0,1,2,0,4,1,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
1,2,0,5,0,1,0,0,0,1,2,0,5,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
0,2,0,5,0,1,0,0,0,1,2,0,5,1,0,0,0,0
1,2,0,2,1,0,0,0,0,1,2,0,2,1,0,0,0,0
0,2,0,5,0,1,0,0,0,0,2,0,5,0,1,0,0,0
0,3,1,4,1,0,0,0,0,0,3,1,4,1,0,0,0,0
0,2,1,4,0,1,0,0,0,0,2,1,4,0,1,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
0,2,0,4,0,0,0,1,0,0,2,0,4,0,0,0,1,0
1,2,0,4,0,1,1,0,0,1,2,0,4,0,1,1,0,0
0,2,0,3,1,0,0,0,0,0,2,0,3,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,1,1,0,0,0
1,2,1,4,1,1,0,0,0,1,2,1,4,1,1,0,0,0
1,2,1,4,0,1,1,0,0,1,2,1,4,0,1,1,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
1,2,0,2,1,0,0,0,0,1,2,0,2,1,0,0,0,0
1,2,0,2,0,1,1,0,0,1,2,0,2,0,1,1,0,0
0,2,0,4,1,1,1,0,0,0,2,0,4,1,1,1,0,0
0,2,1,1,1,0,1,0,0,0,2,1,1,1,0,1,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
1,2,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0,0
0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0
1,3,1,1,1,0,0,0,0,1,3,1,1,1,0,0,0,0
0,2,1,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
0,2,0,4,0,1,1,0,0,0,2,0,4,0,1,1,0,0
1,2,0,2,1,0,1,0,0,1,2,0,2,1,1,0,0,0
0,2,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0
0,2,0,5,0,0,1,0,0,0,2,0,5,0,0,1,0,0
0,2,0,4,0,0,0,1,0,0,2,0,4,0,0,0,1,0
0,3,0,4,0,1,0,0,0,0,3,0,4,0,1,0,0,0
0,2,1,4,0,0,1,0,0,0,2,1,4,0,0,1,0,0
0,2,1,4,0,1,1,0,0,0,2,1,4,0,1,1,0,0
0,2,1,4,0,1,1,0,0,0,2,1,4,0,1,1,0,0
0,2,0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0
1,2,1,5,0,1,1,0,0,1,2,1,5,0,1,1,0,0
1,2,1,5,0,1,0,0,0,1,2,1,5,0,1,0,0,0
0,2,0,4,0,1,0,0,0,0,2,0,4,0,1,0,0,0
1,2,0,2,1,1,1,0,0,1,2,0,2,1,1,1,0,0
1,2,1,4,0,1,0,0,0,1,2,1,4,0,1,0,0,0
0,2,1,4,0,1,1,0,0,0,2,1,4,0,1,1,0,0